Date,Description,Amount,Category
2024-04-03,Stationery Cash,230,Education
2024-05-12,Electricity Bill,5412,Bills & Rent
2024-08-15,Gas Bill,1981,Bills & Rent
2024-09-20,Cinema Payment,1384,Entertainment
2024-10-03,Cinema,949,Entertainment
2024-11-24,Bykea Ride Feb,169,Transport
2024-07-22,Bike Service,1899,Transport
2024-03-07,Bus Ticket,74,Transport
2024-02-22,Gas Bill Mar,2261,Bills & Rent
2024-07-04,Netflix,1186,Entertainment
2024-05-27,Bus Ticket Jan,77,Transport
2024-07-14,Doctor Visit,1477,Health
2024-05-06,Water Bill,471,Bills & Rent
2024-05-25,Chai,129,Food
2024-06-13,Cinema,667,Entertainment
2024-09-12,Cinema,1051,Entertainment
2024-07-21,Gas Bill,1123,Bills & Rent
2024-12-30,Student Biryani,318,Food
2024-10-20,Family Outing,1976,Entertainment
2024-10-15,Petrol,6241,Transport
2024-08-04,Student Biryani,244,Food
2024-10-09,University Fee Payment,22386,Education
2024-01-23,Gas Bill Online,640,Bills & Rent
2024-07-14,House Rent Monthly,25991,Bills & Rent
2024-09-17,Shoes,3056,Shopping
2024-04-04,Internet Bill,2010,Bills & Rent
2024-09-03,Rickshaw,224,Transport
2024-09-25,Electricity Bill,11387,Bills & Rent
2024-08-19,Medicine Purchase Monthly,1698,Health
2024-09-04,Bike Service,947,Transport
2024-05-06,Water Bill,1397,Bills & Rent
2024-07-28,Grocery Store Feb,4732,Shopping
2024-11-06,Bus Ticket Jan,94,Transport
2024-02-15,Student Biryani Mar,208,Food
2024-04-27,Lab Test Jan,3737,Health
2024-04-26,Shoes,3152,Shopping
2024-01-10,Fruit Vendor,731,Food
2024-11-16,Student Biryani Bill,321,Food
2024-03-16,Medicine Purchase,1136,Health
2024-12-18,Mobile Package,1292,Bills & Rent
2024-12-19,Bus Ticket,97,Transport
2024-12-07,Milk,199,Food
2024-08-06,Petrol,6889,Transport
2024-05-11,Internet Bill Feb,3358,Bills & Rent
2024-06-01,Doctor Visit,2295,Health
2024-10-23,Family Outing Online,1710,Entertainment
2024-06-02,Family Outing,4467,Entertainment
2024-09-08,Bike Service Feb,1238,Transport
2024-05-12,Petrol Cash,7084,Transport
2024-03-15,Mobile Package Cash,997,Bills & Rent
2024-08-19,Bike Service,819,Transport
2024-03-10,Medical Store Cash,761,Shopping
2024-03-23,Cinema,820,Entertainment
2024-01-26,University Fee Monthly,15828,Education
2024-08-23,Petrol,5787,Transport
2024-08-19,Mobile Package,1336,Bills & Rent
2024-12-08,Family Outing,3519,Entertainment
2024-01-03,Family Outing,3722,Entertainment
2024-04-17,Cinema Mar,777,Entertainment
2024-02-12,Office Lunch,452,Food
2024-08-28,Online Order,2409,Shopping
2024-08-04,Bike Service Online,1335,Transport
2024-01-22,University Fee,17266,Education
2024-08-10,Chai,80,Food
2024-08-07,Fruit Vendor Online,431,Food
